column_name,ShortName
section,section
contractId.subtier.code,contracting_subtier_cd
contractId.subtier.name,contracting_subtier_nm
contractId.piid,piid
contractId.modificationNumber,mod_num
contractId.transactionNumber,transaction_num
contractId.referencedIDVSubtier.code,ref_idv_subtier_cd
contractId.referencedIDVSubtier.name,ref_idv_subtier_nm
contractId.referencedIDVPiid,ref_idv_piid
contractId.referencedIDVModificationNumber,ref_idv_mod_num
contractId.reasonForModification.code,mod_reason_cd
contractId.reasonForModification.name,mod_reason_nm
coreData.coreVersionId,core_version
coreData.solicitationId,solicitation_id
coreData.solicitationDate,solicitation_dt
coreData.awardOrIDV,award_or_idv
coreData.awardOrIDVType.code,award_type_cd
coreData.awardOrIDVType.name,award_type_nm
coreData.federalOrganization.contractingInformation.contractingDepartment.code,dept_cd
coreData.federalOrganization.contractingInformation.contractingDepartment.name,dept_nm
coreData.federalOrganization.contractingInformation.contractingSubtier.code,subtier_cd
coreData.federalOrganization.contractingInformation.contractingSubtier.name,subtier_nm
coreData.federalOrganization.contractingInformation.contractingOffice.code,contracting_office_cd
coreData.federalOrganization.contractingInformation.contractingOffice.name,contracting_office_nm
coreData.federalOrganization.contractingInformation.contractingOffice.country,contracting_office_country
coreData.federalOrganization.contractingInformation.contractingOffice.regionCode,contracting_office_region
coreData.federalOrganization.fundingInformation.fundingDepartment.code,funding_dept_cd
coreData.federalOrganization.fundingInformation.fundingDepartment.name,funding_dept_nm
coreData.federalOrganization.fundingInformation.fundingSubtier.code,funding_subtier_cd
coreData.federalOrganization.fundingInformation.fundingSubtier.name,funding_subtier_nm
coreData.federalOrganization.fundingInformation.fundingOffice.code,funding_office_cd
coreData.federalOrganization.fundingInformation.fundingOffice.name,funding_office_nm
coreData.federalOrganization.fundingInformation.foreignFunding.code,foreign_funding_cd
coreData.federalOrganization.fundingInformation.foreignFunding.name,foreign_funding_nm
coreData.acquisitionData.typeOfContractPricing.code,pricing_type_cd
coreData.acquisitionData.typeOfContractPricing.name,pricing_type_nm
coreData.acquisitionData.multiyearContract.code,multiyear_cd
coreData.acquisitionData.multiyearContract.name,multiyear_nm
coreData.acquisitionData.programAcronym,prog_acronym
coreData.acquisitionData.performanceBasedServiceContract.code,perf_based_svc_cd
coreData.acquisitionData.performanceBasedServiceContract.name,perf_based_svc_nm
coreData.acquisitionData.consolidatedContract.code,consolidated_cd
coreData.acquisitionData.consolidatedContract.name,consolidated_nm
coreData.acquisitionData.typeOfIdc.code,idc_type_cd
coreData.acquisitionData.reasonForInterAgencyContracting.code,interagency_reason_cd
coreData.acquisitionData.reasonForInterAgencyContracting.name,interagency_reason_nm
coreData.legislativeMandates.clingerCohenAct.code,lm_clinger_cohen_cd
